sample_id,original_index,label,split
class0_seed42_000,211,0,train_subset
class0_seed42_001,215,0,train_subset
class0_seed42_002,319,0,train_subset
class0_seed42_003,349,0,train_subset
class0_seed42_004,453,0,train_subset
class0_seed42_005,492,0,train_subset
class0_seed42_006,513,0,train_subset
class0_seed42_007,571,0,train_subset
class0_seed42_008,600,0,train_subset
class0_seed42_009,675,0,train_subset
class0_seed42_010,808,0,train_subset
class0_seed42_011,817,0,train_subset
class0_seed42_012,873,0,train_subset
class0_seed42_013,906,0,train_subset
class0_seed42_014,1030,0,train_subset
class0_seed42_015,1038,0,train_subset
class0_seed42_016,1112,0,train_subset
class0_seed42_017,1117,0,train_subset
class0_seed42_018,1319,0,train_subset
class0_seed42_019,1357,0,train_subset
class0_seed42_020,1384,0,train_subset
class0_seed42_021,1631,0,train_subset
class0_seed42_022,1781,0,train_subset
class0_seed42_023,1782,0,train_subset
class0_seed42_024,1850,0,train_subset
class0_seed42_025,2226,0,train_subset
class0_seed42_026,2231,0,train_subset
class0_seed42_027,2246,0,train_subset
class0_seed42_028,2348,0,train_subset
class0_seed42_029,2469,0,train_subset
class0_seed42_030,2566,0,train_subset
class0_seed42_031,2759,0,train_subset
class0_seed42_032,2778,0,train_subset
class0_seed42_033,2944,0,train_subset
class0_seed42_034,2948,0,train_subset
class0_seed42_035,3052,0,train_subset
class0_seed42_036,3186,0,train_subset
class0_seed42_037,3255,0,train_subset
class0_seed42_038,3494,0,train_subset
class0_seed42_039,3617,0,train_subset
class0_seed42_040,3658,0,train_subset
class0_seed42_041,3720,0,train_subset
class0_seed42_042,3800,0,train_subset
class0_seed42_043,3846,0,train_subset
class0_seed42_044,4046,0,train_subset
class0_seed42_045,4199,0,train_subset
class0_seed42_046,4207,0,train_subset
class0_seed42_047,4299,0,train_subset
class0_seed42_048,4431,0,train_subset
class0_seed42_049,4586,0,train_subset
class1_seed42_000,30,1,train_subset
class1_seed42_001,42,1,train_subset
class1_seed42_002,291,1,train_subset
class1_seed42_003,394,1,train_subset
class1_seed42_004,499,1,train_subset
class1_seed42_005,558,1,train_subset
class1_seed42_006,646,1,train_subset
class1_seed42_007,719,1,train_subset
class1_seed42_008,731,1,train_subset
class1_seed42_009,875,1,train_subset
class1_seed42_010,1018,1,train_subset
class1_seed42_011,1061,1,train_subset
class1_seed42_012,1234,1,train_subset
class1_seed42_013,1428,1,train_subset
class1_seed42_014,1474,1,train_subset
class1_seed42_015,1587,1,train_subset
class1_seed42_016,1661,1,train_subset
class1_seed42_017,1745,1,train_subset
class1_seed42_018,1790,1,train_subset
class1_seed42_019,1832,1,train_subset
class1_seed42_020,1887,1,train_subset
class1_seed42_021,2156,1,train_subset
class1_seed42_022,2344,1,train_subset
class1_seed42_023,2492,1,train_subset
class1_seed42_024,2744,1,train_subset
class1_seed42_025,2746,1,train_subset
class1_seed42_026,2811,1,train_subset
class1_seed42_027,2917,1,train_subset
class1_seed42_028,3134,1,train_subset
class1_seed42_029,3158,1,train_subset
class1_seed42_030,3278,1,train_subset
class1_seed42_031,3329,1,train_subset
class1_seed42_032,3387,1,train_subset
class1_seed42_033,3403,1,train_subset
class1_seed42_034,3408,1,train_subset
class1_seed42_035,3513,1,train_subset
class1_seed42_036,3622,1,train_subset
class1_seed42_037,3696,1,train_subset
class1_seed42_038,3746,1,train_subset
class1_seed42_039,3913,1,train_subset
class1_seed42_040,3994,1,train_subset
class1_seed42_041,4198,1,train_subset
class1_seed42_042,4255,1,train_subset
class1_seed42_043,4376,1,train_subset
class1_seed42_044,4426,1,train_subset
class1_seed42_045,4475,1,train_subset
class1_seed42_046,4493,1,train_subset
class1_seed42_047,4613,1,train_subset
class1_seed42_048,4637,1,train_subset
class1_seed42_049,4696,1,train_subset
